State,Government Function,Full-Time Employment,Full-Time Payroll (whole dollars),Part-Time Employment,Part-Time Payroll (whole dollars),Full-Time Equivalent Employment,Total Full-Time and Part-Time Employment,Total Payroll (whole dollars)
US,Total - All Government Employment Functions,"3,899,691","26,159,660,684","1,464,048","2,585,695,010","4,441,091","5,363,739","28,745,355,694"
US,Financial Administration,"165,352","1,042,096,971","6,848","17,978,611","169,465","172,200","1,060,075,582"
US,Other Government Administration,"50,585","324,431,348","7,690","18,356,866","54,480","58,275","342,788,214"
US,Judicial and Legal,"174,558","1,234,097,727","7,878","22,598,062","178,640","182,436","1,256,695,789"
US,Police Protection Total,"103,763","806,200,774","3,245","5,939,620","104,754","107,008","812,140,394"
US,Police Protection - Persons with Power of Arrest,"66,417","597,014,184","1,264","1,465,696","66,535","67,681","598,479,880"
US,Police Protection - Other,"37,346","209,186,590","1,981","4,473,924","38,219","39,327","213,660,514"
US,Fire Protection Total,0,0,0,0,0,0,0
US,Fire Protection - Firefighters,0,0,0,0,0,0,0
US,Fire Protection - Other,0,0,0,0,0,0,0
US,Corrections,"381,820","2,423,246,798","10,891","26,662,396","387,956","392,711","2,449,909,194"
US,Highways,"200,121","1,235,734,030","6,819","20,389,577","204,246","206,940","1,256,123,607"
US,Air Transportation,"3,716","26,876,468",40,"99,651","3,736","3,756","26,976,119"
US,Sea and Inland Port Facilities,"5,181","41,078,610",82,"147,349","5,211","5,263","41,225,959"
US,Public Welfare,"238,187","1,234,588,697","8,507","25,149,603","243,603","246,694","1,259,738,300"
US,Health,"192,040","1,138,634,517","14,412","48,302,395","200,002","206,452","1,186,936,912"
US,Hospitals,"397,780","2,729,645,965","70,885","315,530,186","436,076","468,665","3,045,176,151"
US,Social Insurance Administration,"64,704","370,557,354","2,945","10,490,945","66,708","67,649","381,048,299"
US,Solid Waste Management,"2,275","15,057,329",117,"306,961","2,345","2,392","15,364,290"
US,Sewerage,"1,621","13,950,386",35,"271,379","1,639","1,656","14,221,765"
US,Parks and Recreation,"29,294","140,802,202","9,964","14,498,984","34,475","39,258","155,301,186"
US,Housing and Community Development,"2,351","16,707,955",235,"1,015,610","2,425","2,586","17,723,565"
US,Natural Resources,"122,530","719,471,047","20,876","42,684,450","132,940","143,406","762,155,497"
US,Water Supply,668,"5,093,953",12,"30,021",671,680,"5,123,974"
US,Electric Power,"4,257","42,142,400",78,"290,568","4,293","4,335","42,432,968"
US,Gas Supply,0,0,0,0,0,0,0
US,Transit,"37,988","319,424,943","1,342","3,451,981","38,574","39,330","322,876,924"
US,Education Total,"1,542,192","11,148,068,032","1,273,444","1,971,956,626","1,981,977","2,815,636","13,120,024,658"
US,Education - Elementary and Secondary Total,"35,935","208,675,792","13,322","15,870,445","40,388","49,257","224,546,237"
US,Education - Elementary and Secondary Instructional,"27,333","171,045,108","11,084","13,694,163","31,013","38,417","184,739,271"
US,Education - Elementary and Secondary Other,"8,602","37,630,684","2,238","2,176,282","9,375","10,840","39,806,966"
US,Education - Higher Education Total,"1,433,055","10,493,179,968","1,250,843","1,936,075,766","1,864,296","2,683,898","12,429,255,734"
US,Education - Higher Education Instructional,"480,057","4,812,596,126","414,299","996,155,330","637,065","894,356","5,808,751,456"
US,Education - Higher Education Other,"952,998","5,680,583,842","836,544","939,920,436","1,227,231","1,789,542","6,620,504,278"
US,Education - Other,"73,202","446,212,272","9,279","20,010,415","77,293","82,481","466,222,687"
US,Libraries,"1,023","4,967,339",181,"229,610","1,086","1,204","5,196,949"
US,State liquor stores,"7,167","32,411,811","6,418","9,716,914","10,316","13,585","42,128,725"
US,All other and unallocable,"170,518","1,094,374,028","11,104","29,596,645","175,473","181,622","1,123,970,673"
AL,Total - All Government Employment Functions,"82,867","473,901,668","35,533","54,647,401","96,137","118,400","528,549,069"
AL,Financial Administration,"2,002","11,740,518",109,"214,837","2,059","2,111","11,955,355"
AL,Other Government Administration,492,"3,070,472",211,"778,356",609,703,"3,848,828"
AL,Judicial and Legal,"2,968","19,187,312",448,"776,934","3,256","3,416","19,964,246"
AL,Police Protection Total,"1,511","7,689,255",71,"198,673","1,525","1,582","7,887,928"
AL,Police Protection - Persons with Power of Arrest,749,"4,396,736",36,"102,000",749,785,"4,498,736"
AL,Police Protection - Other,762,"3,292,519",35,"96,673",776,797,"3,389,192"
AL,Fire Protection Total,0,0,0,0,0,0,0
AL,Fire Protection - Firefighters,0,0,0,0,0,0,0
AL,Fire Protection - Other,0,0,0,0,0,0,0
AL,Corrections,"3,658","21,317,466",375,"935,782","3,867","4,033","22,253,248"
AL,Highways,"4,125","19,535,094",90,"197,176","4,165","4,215","19,732,270"
AL,Air Transportation,0,0,0,0,0,0,0
AL,Sea and Inland Port Facilities,520,"3,303,432",7,"6,852",521,527,"3,310,284"
AL,Public Welfare,"3,883","16,910,382",74,"141,330","3,919","3,957","17,051,712"
AL,Health,"6,255","29,968,856",421,"1,276,239","6,405","6,676","31,245,095"
AL,Hospitals,"12,297","72,614,637","5,232","17,851,283","15,138","17,529","90,465,920"
AL,Social Insurance Administration,722,"3,438,800",17,"59,024",732,739,"3,497,824"
AL,Solid Waste Management,0,0,0,0,0,0,0
AL,Sewerage,0,0,0,0,0,0,0
AL,Parks and Recreation,344,"1,099,518",277,"371,624",534,621,"1,471,142"
AL,Housing and Community Development,0,0,0,0,0,0,0
AL,Natural Resources,"1,702","7,706,054",194,"319,338","1,785","1,896","8,025,392"
AL,Water Supply,0,0,0,0,0,0,0
AL,Electric Power,0,0,0,0,0,0,0
AL,Gas Supply,0,0,0,0,0,0,0
AL,Transit,0,0,0,0,0,0,0
AL,Education Total,"39,743","243,638,344","27,605","30,881,678","48,746","67,348","274,520,022"
AL,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
AL,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
AL,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
AL,Education - Higher Education Total,"36,809","228,621,527","27,381","30,500,473","45,710","64,190","259,122,000"
AL,Education - Higher Education Instructional,"11,757","99,176,461","10,295","15,976,190","14,900","22,052","115,152,651"
AL,Education - Higher Education Other,"25,052","129,445,066","17,086","14,524,283","30,810","42,138","143,969,349"
AL,Education - Other,"2,934","15,016,817",224,"381,205","3,036","3,158","15,398,022"
AL,Libraries,0,0,0,0,0,0,0
AL,State liquor stores,866,"2,850,384",22,"58,430",879,888,"2,908,814"
AL,All other and unallocable,"1,779","9,831,144",380,"579,845","1,997","2,159","10,410,989"
AK,Total - All Government Employment Functions,"22,338","157,940,112","4,376","7,836,074","23,948","26,714","165,776,186"
AK,Financial Administration,947,"7,304,334",17,"54,521",954,964,"7,358,855"
AK,Other Government Administration,706,"4,604,030",13,"27,733",711,719,"4,631,763"
AK,Judicial and Legal,"1,717","13,279,118",69,"232,627","1,745","1,786","13,511,745"
AK,Police Protection Total,687,"6,626,103",8,"25,186",691,695,"6,651,289"
AK,Police Protection - Persons with Power of Arrest,337,"4,401,881",3,"21,874",340,340,"4,423,755"
AK,Police Protection - Other,350,"2,224,222",5,"3,312",351,355,"2,227,534"
AK,Fire Protection Total,0,0,0,0,0,0,0
AK,Fire Protection - Firefighters,0,0,0,0,0,0,0
AK,Fire Protection - Other,0,0,0,0,0,0,0
AK,Corrections,"2,181","17,193,844",30,"97,056","2,206","2,211","17,290,900"
AK,Highways,"2,170","16,178,083",20,"44,614","2,180","2,190","16,222,697"
AK,Air Transportation,484,"3,465,695",0,0,484,484,"3,465,695"
AK,Sea and Inland Port Facilities,0,0,0,0,0,0,0
AK,Public Welfare,"1,545","9,664,262",97,"228,042","1,629","1,642","9,892,304"
AK,Health,754,"5,276,114",21,"84,391",764,775,"5,360,505"
AK,Hospitals,251,"1,756,938",11,"34,802",261,262,"1,791,740"
AK,Social Insurance Administration,252,"1,459,883",1,"4,214",252,253,"1,464,097"
AK,Solid Waste Management,0,0,0,0,0,0,0
AK,Sewerage,0,0,0,0,0,0,0
AK,Parks and Recreation,116,"680,070",9,"4,309",125,125,"684,379"
AK,Housing and Community Development,0,0,0,0,0,0,0
AK,Natural Resources,"1,995","13,503,712",31,"93,318","2,008","2,026","13,597,030"
AK,Water Supply,0,0,0,0,0,0,0
AK,Electric Power,0,0,0,0,0,0,0
AK,Gas Supply,0,0,0,0,0,0,0
AK,Transit,0,0,0,0,0,0,0
AK,Education Total,"6,519","41,960,046","4,040","6,891,945","7,920","10,559","48,851,991"
AK,Education - Elementary and Secondary Total,"2,644","13,767,189","1,204","1,573,901","3,085","3,848","15,341,090"
AK,Education - Elementary and Secondary Instructional,"1,896","10,481,522",559,"883,160","2,122","2,455","11,364,682"
AK,Education - Elementary and Secondary Other,748,"3,285,667",645,"690,741",963,"1,393","3,976,408"
AK,Education - Higher Education Total,"3,490","25,632,926","2,791","5,260,308","4,437","6,281","30,893,234"
AK,Education - Higher Education Instructional,995,"9,612,974",921,"2,253,191","1,322","1,916","11,866,165"
AK,Education - Higher Education Other,"2,495","16,019,952","1,870","3,007,117","3,115","4,365","19,027,069"
AK,Education - Other,385,"2,559,931",45,"57,736",398,430,"2,617,667"
AK,Libraries,19,"133,636",0,0,19,19,"133,636"
AK,State liquor stores,0,0,0,0,0,0,0
AK,All other and unallocable,"1,995","14,854,244",9,"13,316","1,999","2,004","14,867,560"
AZ,Total - All Government Employment Functions,"64,154","413,679,000","32,803","44,270,447","76,598","96,957","457,949,447"
AZ,Financial Administration,"2,164","12,620,499",30,"76,407","2,178","2,194","12,696,906"
AZ,Other Government Administration,720,"4,411,967",112,"273,732",773,832,"4,685,699"
AZ,Judicial and Legal,"2,372","14,034,415",63,"207,068","2,406","2,435","14,241,483"
AZ,Police Protection Total,"1,949","14,180,159",45,"90,805","1,964","1,994","14,270,964"
AZ,Police Protection - Persons with Power of Arrest,"1,131","9,079,594",2,"3,288","1,132","1,133","9,082,882"
AZ,Police Protection - Other,818,"5,100,565",43,"87,517",832,861,"5,188,082"
AZ,Fire Protection Total,0,0,0,0,0,0,0
AZ,Fire Protection - Firefighters,0,0,0,0,0,0,0
AZ,Fire Protection - Other,0,0,0,0,0,0,0
AZ,Corrections,"8,102","44,450,583",78,"252,962","8,143","8,180","44,703,545"
AZ,Highways,"2,457","12,410,458",7,"12,306","2,459","2,464","12,422,764"
AZ,Air Transportation,0,0,0,0,0,0,0
AZ,Sea and Inland Port Facilities,0,0,0,0,0,0,0
AZ,Public Welfare,"6,973","31,699,014",65,"155,086","7,013","7,038","31,854,100"
AZ,Health,"2,670","15,269,557",56,"105,805","2,702","2,726","15,375,362"
AZ,Hospitals,612,"3,585,639",18,"85,026",623,630,"3,670,665"
AZ,Social Insurance Administration,"2,336","11,088,329",17,"38,450","2,345","2,353","11,126,779"
AZ,Solid Waste Management,0,0,0,0,0,0,0
AZ,Sewerage,0,0,0,0,0,0,0
AZ,Parks and Recreation,339,"1,443,896",1,"2,646",339,340,"1,446,542"
AZ,Housing and Community Development,0,0,0,0,0,0,0
AZ,Natural Resources,"1,555","8,362,212",142,"271,765","1,629","1,697","8,633,977"
AZ,Water Supply,0,0,0,0,0,0,0
AZ,Electric Power,5,"50,692",0,0,5,5,"50,692"
AZ,Gas Supply,0,0,0,0,0,0,0
AZ,Transit,0,0,0,0,0,0,0
AZ,Education Total,"29,010","223,205,480","32,021","42,416,885","41,083","61,031","265,622,365"
AZ,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
AZ,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
AZ,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
AZ,Education - Higher Education Total,"26,971","212,912,304","31,499","41,052,585","38,745","58,470","253,964,889"
AZ,Education - Higher Education Instructional,"9,198","93,417,546","11,974","17,902,915","13,708","21,172","111,320,461"
AZ,Education - Higher Education Other,"17,773","119,494,758","19,525","23,149,670","25,037","37,298","142,644,428"
AZ,Education - Other,"2,039","10,293,176",522,"1,364,300","2,338","2,561","11,657,476"
AZ,Libraries,0,0,0,0,0,0,0
AZ,State liquor stores,0,0,0,0,0,0,0
AZ,All other and unallocable,"2,890","16,866,100",148,"281,504","2,936","3,038","17,147,604"
AR,Total - All Government Employment Functions,"60,176","295,303,783","8,064","11,114,954","62,899","68,240","306,418,737"
AR,Financial Administration,"2,174","10,299,879",12,"23,455","2,182","2,186","10,323,334"
AR,Other Government Administration,692,"3,934,487",7,"13,860",695,699,"3,948,347"
AR,Judicial and Legal,"1,545","7,836,919",123,"459,919","1,608","1,668","8,296,838"
AR,Police Protection Total,"1,418","7,275,129",4,"10,077","1,420","1,422","7,285,206"
AR,Police Protection - Persons with Power of Arrest,702,"4,186,553",0,0,702,702,"4,186,553"
AR,Police Protection - Other,716,"3,088,576",4,"10,077",718,720,"3,098,653"
AR,Fire Protection Total,0,0,0,0,0,0,0
AR,Fire Protection - Firefighters,0,0,0,0,0,0,0
AR,Fire Protection - Other,0,0,0,0,0,0,0
AR,Corrections,"4,539","20,738,843",21,"70,533","4,550","4,560","20,809,376"
AR,Highways,"3,670","16,423,354",21,"57,679","3,689","3,691","16,481,033"
AR,Air Transportation,4,"22,624",0,0,4,4,"22,624"
AR,Sea and Inland Port Facilities,0,0,0,0,0,0,0
AR,Public Welfare,"3,852","17,026,491",10,"22,527","3,856","3,862","17,049,018"
AR,Health,"2,955","14,473,911",46,"134,702","2,980","3,001","14,608,613"
AR,Hospitals,"6,923","33,950,788",241,"1,005,097","7,087","7,164","34,955,885"
AR,Social Insurance Administration,"1,221","5,765,657",6,"52,049","1,225","1,227","5,817,706"
AR,Solid Waste Management,0,0,0,0,0,0,0
AR,Sewerage,0,0,0,0,0,0,0
AR,Parks and Recreation,"1,160","3,590,328",5,"14,676","1,162","1,165","3,605,004"
AR,Housing and Community Development,0,0,0,0,0,0,0
AR,Natural Resources,"1,387","6,188,252",6,"17,824","1,389","1,393","6,206,076"
AR,Water Supply,0,0,0,0,0,0,0
AR,Electric Power,0,0,0,0,0,0,0
AR,Gas Supply,0,0,0,0,0,0,0
AR,Transit,0,0,0,0,0,0,0
AR,Education Total,"26,909","139,402,623","7,549","9,204,524","29,320","34,458","148,607,147"
AR,Education - Elementary and Secondary Total,0,0,0,0,0,0,0
AR,Education - Elementary and Secondary Instructional,0,0,0,0,0,0,0
AR,Education - Elementary and Secondary Other,0,0,0,0,0,0,0
AR,Education - Higher Education Total,"25,810","134,255,735","7,544","9,198,310","28,218","33,354","143,454,045"
AR,Education - Higher Education Instructional,"7,017","62,679,664","2,862","5,374,287","8,100","9,879","68,053,951"
AR,Education - Higher Education Other,"18,793","71,576,071","4,682","3,824,023","20,118","23,475","75,400,094"
AR,Education - Other,"1,099","5,146,888",5,"6,214","1,102","1,104","5,153,102"
AR,Libraries,44,"179,260",1,86,44,45,"179,346"
AR,State liquor stores,0,0,0,0,0,0,0
AR,All other and unallocable,"1,683","8,195,238",12,"27,946","1,688","1,695","8,223,184"
CA,Total - All Government Employment Functions,"410,717","3,710,614,997","151,922","323,443,699","465,564","562,639","4,034,058,696"
CA,Financial Administration,"25,925","177,935,536","1,951","5,843,737","27,225","27,876","183,779,273"
CA,Other Government Administration,"4,291","33,834,126",166,"596,978","4,388","4,457","34,431,104"
CA,Judicial and Legal,"6,416","59,312,557",309,"1,080,226","6,562","6,725","60,392,783"
CA,Police Protection Total,"10,419","121,153,540",158,"449,420","10,486","10,577","121,602,960"
CA,Police Protection - Persons with Power of Arrest,"7,381","102,252,887",33,"109,918","7,383","7,414","102,362,805"
CA,Police Protection - Other,"3,038","18,900,653",125,"339,502","3,103","3,163","19,240,155"
