State,Coal,Natural Gas,Petroleum,Nuclear,Renewable
AK,18694.00,384560.00,256041.00,0.00,24907.00
AL,309791.00,739546.00,580020.00,480897.00,303213.00
AR,216123.00,360504.00,329239.00,141603.00,114123.00
AZ,160299.00,484962.00,606053.00,330406.00,197117.00
CA,28244.00,2172757.00,2969515.00,172123.00,1334148.00
CO,252442.00,526513.00,489206.00,0.00,216066.00
CT,2880.00,306843.00,287268.00,179844.00,51792.00
DC,0.00,28336.00,17525.00,0.00,3358.00
DE,4542.00,87778.00,113210.00,0.00,8136.00
FL,200193.00,1591156.00,1750506.00,293097.00,353523.00
GA,203870.00,773889.00,922614.00,354662.00,332568.00
HI,12566.00,133.00,222977.00,0.00,35105.00
IA,264419.00,383424.00,411463.00,0.00,599196.00
ID,3051.00,135178.00,188712.00,0.00,145902.00
IL,521615.00,1082481.00,1140285.00,1013204.00,335451.00
IN,753557.00,870075.00,714790.00,0.00,212543.00
KS,219031.00,292156.00,338260.00,89572.00,276717.00
KY,548443.00,365718.00,585943.00,0.00,102456.00
LA,95856.00,1861540.00,1840317.00,180180.00,144874.00
MA,0.00,404324.00,502317.00,0.00,103215.00
MD,69186.00,302243.00,433109.00,156623.00,73820.00
ME,1588.00,57233.00,164149.00,0.00,133128.00
MI,436203.00,950120.00,816074.00,358698.00,247406.00
MN,179055.00,523812.00,567228.00,147526.00,297813.00
MO,616413.00,293874.00,609448.00,44839.00,144808.00
MS,64446.00,576923.00,385435.00,122971.00,68941.00
MT,122765.00,86998.00,176856.00,0.00,134741.00
NC,222501.00,637553.00,884691.00,450408.00,288212.00
ND,361811.00,190784.00,169566.00,0.00,185516.00
NE,216298.00,191008.00,237542.00,71875.00,217397.00
NH,3259.00,60116.00,141670.00,102957.00,50415.00
NJ,12586.00,697019.00,750887.00,293972.00,85852.00
NM,133228.00,284989.00,262264.00,0.00,138630.00
NV,35910.00,305212.00,284865.00,0.00,139948.00
NY,5370.00,1361190.00,1209837.00,325671.00,473907.00
OH,575920.00,1293129.00,1029340.00,182628.00,165301.00
OK,131695.00,745038.00,519226.00,0.00,367146.00
OR,1303.00,305665.00,322320.00,0.00,449244.00
PA,485193.00,1867361.00,1035606.00,792878.00,223410.00
RI,0.00,105473.00,76590.00,0.00,14546.00
SC,162628.00,350088.00,509517.00,561696.00,170674.00
SD,21589.00,96787.00,119919.00,0.00,205338.00
TN,225784.00,413619.00,715602.00,369061.00,198765.00
TX,968401.00,4736878.00,6802215.00,420047.00,1293066.00
UT,276159.00,274376.00,302537.00,0.00,67954.00
VA,68603.00,699927.00,789358.00,298458.00,189262.00
VT,0.00,13801.00,72373.00,0.00,40260.00
WA,36943.00,382807.00,712349.00,88909.00,850547.00
WI,286760.00,559535.00,533212.00,104149.00,178716.00
WV,633582.00,279133.00,205121.00,0.00,48756.00
WY,376971.00,161354.00,146812.00,0.00,91943.00
US,10547764.00,31655918.00,35251979.00,8128952.00,12139977.00
