full,Coal,Natural Gas,Crude Oil,Nuclear Electric,Biofuels,Wood and Waste,Other,Total
Alabama,238.00,115.10,24.40,480.90,1.60,172.80,106.60,1139.50
Alaska,15.80,391.90,908.30,0.00,0.00,7.60,16.40,1340.00
Arizona,0.00,0.20,(s),330.40,0.00,9.10,159.90,499.70
Arkansas,0.00,457.50,24.00,141.60,6.10,64.30,42.10,735.50
California,0.00,160.80,765.90,172.10,36.70,149.90,867.00,2152.50
Colorado,247.90,2300.90,873.00,0.00,19.20,15.30,173.60,3629.80
Connecticut,0.00,0.00,0.00,179.80,3.00,23.40,15.30,221.60
Delaware,0.00,0.00,0.00,0.00,0.00,1.40,2.20,3.70
District of Columbia,0.00,0.00,0.00,0.00,0.00,0.90,1.50,2.40
Florida,0.00,1.20,8.50,293.10,0.00,152.50,135.20,590.40
Georgia,0.00,0.00,0.00,354.70,1.90,235.10,79.40,671.10
Hawaii,0.00,0.00,0.00,0.00,0.70,4.60,26.10,31.40
Idaho,0.00,1.40,0.10,0.00,1.40,35.20,102.80,140.90
Illinois,800.40,2.20,40.20,1013.20,215.10,17.00,186.40,2274.50
Indiana,440.10,4.30,8.70,0.00,167.80,36.60,84.70,742.10
Iowa,0.00,0.00,0.00,0.00,597.20,19.40,342.30,958.80
Kansas,0.00,178.20,158.80,89.60,80.30,6.40,229.60,742.80
Kentucky,623.40,86.40,14.00,0.00,11.60,32.00,46.90,814.40
Louisiana,4.20,3539.60,197.60,180.20,51.40,117.00,15.30,4105.30
Maine,0.00,0.00,0.00,0.00,0.10,79.10,47.80,126.90
Maryland,30.10,(s),0.00,156.60,0.00,12.90,38.60,238.20
Massachusetts,0.00,0.00,0.00,0.00,0.10,30.80,49.30,80.20
Michigan,0.00,77.70,24.70,358.70,45.30,99.70,91.10,697.10
Minnesota,0.00,0.00,0.00,147.50,182.80,55.70,134.20,520.20
Mississippi,33.30,28.40,76.40,123.00,2.30,56.50,4.90,324.80
Missouri,0.90,0.00,0.30,44.80,64.30,22.20,78.00,210.60
Montana,511.80,42.80,108.10,0.00,0.00,16.50,113.60,792.80
Nebraska,0.00,0.30,9.70,71.90,274.00,4.80,96.80,457.50
Nevada,0.00,(s),1.20,0.00,0.00,3.20,125.20,129.70
New Hampshire,0.00,0.00,0.00,103.00,0.60,28.80,15.40,147.70
New Jersey,0.00,0.00,0.00,294.00,0.00,15.50,38.40,347.90
New Mexico,172.70,2603.00,2601.50,0.00,0.00,12.50,115.30,5504.90
New York,0.00,10.00,0.80,325.70,7.80,88.90,327.90,761.10
North Carolina,0.00,0.00,0.00,450.40,0.20,125.00,150.80,726.40
North Dakota,362.30,1386.90,2305.20,0.00,102.80,1.80,150.70,4309.70
Ohio,68.00,2508.70,106.30,182.60,87.30,48.90,40.10,3042.00
Oklahoma,(s),3020.50,814.00,0.00,4.40,34.60,313.40,4186.90
Oregon,0.00,0.20,0.00,0.00,5.10,75.60,347.40,428.30
Pennsylvania,1070.70,8057.50,35.60,792.90,21.40,103.80,69.00,10150.90
Rhode Island,0.00,0.00,0.00,0.00,0.70,3.60,7.60,11.90
South Carolina,0.00,0.00,0.00,561.70,0.00,107.30,47.10,716.10
South Dakota,0.00,0.20,5.80,0.00,176.30,3.30,128.50,314.00
Tennessee,0.00,3.70,0.90,369.10,27.90,58.80,100.40,560.90
Texas,229.80,12097.80,9898.70,420.00,61.50,91.30,1044.60,23843.80
Utah,275.20,264.10,201.90,0.00,0.00,4.40,52.80,798.40
Vermont,0.00,0.00,0.00,0.00,0.00,21.80,16.00,37.70
Virginia,283.60,101.00,(s),298.50,0.30,116.60,46.00,846.00
Washington,0.00,0.00,0.00,88.90,16.90,107.20,717.90,931.00
West Virginia,2045.50,3306.10,103.80,0.00,0.00,11.60,29.70,5496.70
Wisconsin,0.00,0.00,0.00,104.10,75.40,86.50,38.80,304.90
Wyoming,4189.00,1255.60,486.10,0.00,12.60,4.50,84.10,6032.00
