Full,Industry,Jobs
United States,Employment by place of work,
United States,Total employment (number of jobs),212442000
United States,By industry,
United States,  Farm employment,2567000
United States,"      Forestry, fishing, and related activities",966800
United States,"      Mining, quarrying, and oil and gas extraction",1050200
United States,      Utilities,605600
United States,      Construction,11867800
United States,      Manufacturing,13523700
United States,      Wholesale trade,6757300
United States,      Retail trade,19510300
United States,      Transportation and warehousing,11473500
United States,      Information,3861900
United States,      Finance and insurance,12982300
United States,      Real estate and rental and leasing,11832200
United States,"      Professional, scientific, and technical services",15978400
United States,      Management of companies and enterprises,2953800
United States,      Administrative and support and waste management and remediation services,13058300
United States,      Educational services,4885700
United States,      Health care and social assistance,23545500
United States,"      Arts, entertainment, and recreation",4457300
United States,      Accommodation and food services,14750300
United States,      Other services (except government and government enterprises),11616100
United States,    Government and government enterprises,24198000
Alabama,Employment by place of work,
Alabama,Total employment (number of jobs),2869931
Alabama,By industry,
Alabama,  Farm employment,41204
Alabama,"      Forestry, fishing, and related activities",15615
Alabama,"      Mining, quarrying, and oil and gas extraction",8825
Alabama,      Utilities,13475
Alabama,      Construction,165585
Alabama,      Manufacturing,284309
Alabama,      Wholesale trade,87542
Alabama,      Retail trade,296118
Alabama,      Transportation and warehousing,125376
Alabama,      Information,30080
Alabama,      Finance and insurance,135312
Alabama,      Real estate and rental and leasing,145517
Alabama,"      Professional, scientific, and technical services",175579
Alabama,      Management of companies and enterprises,20866
Alabama,      Administrative and support and waste management and remediation services,194542
Alabama,      Educational services,40314
Alabama,      Health care and social assistance,262878
Alabama,"      Arts, entertainment, and recreation",41767
Alabama,      Accommodation and food services,196421
Alabama,      Other services (except government and government enterprises),180860
Alabama,    Government and government enterprises,407746
Alaska,Employment by place of work,
Alaska,Total employment (number of jobs),457687
Alaska,By industry,
Alaska,  Farm employment,1492
Alaska,"      Forestry, fishing, and related activities",10179
Alaska,"      Mining, quarrying, and oil and gas extraction",13389
Alaska,      Utilities,2643
Alaska,      Construction,23551
Alaska,      Manufacturing,14642
Alaska,      Wholesale trade,7362
Alaska,      Retail trade,43074
Alaska,      Transportation and warehousing,29850
Alaska,      Information,6406
Alaska,      Finance and insurance,13062
Alaska,      Real estate and rental and leasing,20473
Alaska,"      Professional, scientific, and technical services",23740
Alaska,      Management of companies and enterprises,3882
Alaska,      Administrative and support and waste management and remediation services,17048
Alaska,      Educational services,5721
Alaska,      Health care and social assistance,52932
Alaska,"      Arts, entertainment, and recreation",10251
Alaska,      Accommodation and food services,34711
Alaska,      Other services (except government and government enterprises),20911
Alaska,    Government and government enterprises,102368
Arizona,Employment by place of work,
Arizona,Total employment (number of jobs),4287595
Arizona,By industry,
Arizona,  Farm employment,27735
Arizona,"      Forestry, fishing, and related activities",14280
Arizona,"      Mining, quarrying, and oil and gas extraction",20295
Arizona,      Utilities,12818
Arizona,      Construction,270022
Arizona,      Manufacturing,204725
Arizona,      Wholesale trade,126540
Arizona,      Retail trade,422975
Arizona,      Transportation and warehousing,240127
Arizona,      Information,66692
Arizona,      Finance and insurance,309879
Arizona,      Real estate and rental and leasing,272829
Arizona,"      Professional, scientific, and technical services",289301
Arizona,      Management of companies and enterprises,53464
Arizona,      Administrative and support and waste management and remediation services,322974
Arizona,      Educational services,92109
Arizona,      Health care and social assistance,476659
Arizona,"      Arts, entertainment, and recreation",85991
Arizona,      Accommodation and food services,317706
Arizona,      Other services (except government and government enterprises),214742
Arizona,    Government and government enterprises,445732
Arkansas,Employment by place of work,
Arkansas,Total employment (number of jobs),1755536
Arkansas,By industry,
Arkansas,  Farm employment,52590
Arkansas,"      Forestry, fishing, and related activities",14226
Arkansas,"      Mining, quarrying, and oil and gas extraction",10065
Arkansas,      Utilities,8090
Arkansas,      Construction,102565
Arkansas,      Manufacturing,168636
Arkansas,      Wholesale trade,56945
Arkansas,      Retail trade,176418
Arkansas,      Transportation and warehousing,91558
Arkansas,      Information,18081
Arkansas,      Finance and insurance,77180
Arkansas,      Real estate and rental and leasing,80147
Arkansas,"      Professional, scientific, and technical services",76760
Arkansas,      Management of companies and enterprises,39794
Arkansas,      Administrative and support and waste management and remediation services,99034
Arkansas,      Educational services,23608
Arkansas,      Health care and social assistance,197663
Arkansas,"      Arts, entertainment, and recreation",24216
Arkansas,      Accommodation and food services,121494
Arkansas,      Other services (except government and government enterprises),95794
Arkansas,    Government and government enterprises,220672
California,Employment by place of work,
California,Total employment (number of jobs),25300974
California,By industry,
California,  Farm employment,228186
California,"      Forestry, fishing, and related activities",259767
California,"      Mining, quarrying, and oil and gas extraction",36926
California,      Utilities,67516
California,      Construction,1259662
California,      Manufacturing,1419413
California,      Wholesale trade,773657
California,      Retail trade,2090805
California,      Transportation and warehousing,1474413
California,      Information,727797
California,      Finance and insurance,1318004
California,      Real estate and rental and leasing,1454721
California,"      Professional, scientific, and technical services",2231632
California,      Management of companies and enterprises,284267
California,      Administrative and support and waste management and remediation services,1581853
California,      Educational services,554586
California,      Health care and social assistance,2942827
California,"      Arts, entertainment, and recreation",617031
California,      Accommodation and food services,1775446
California,      Other services (except government and government enterprises),1423034
California,    Government and government enterprises,2779431
Colorado,Employment by place of work,
Colorado,Total employment (number of jobs),4187944
Colorado,By industry,
Colorado,  Farm employment,49226
