United States,"27,360,935"
New England ,"1,396,676"
Connecticut,"340,181"
Maine ,"91,081"
Massachusetts ,"733,860"
New Hampshire ,"111,102"
Rhode Island ,"77,322"
Vermont ,"43,130"
Mideast ,"4,697,305"
Delaware ,"93,595"
District of Columbia ,"174,796"
Maryland ,"512,280"
New Jersey,"799,305"
New York,"2,152,262"
Pennsylvania ,"965,067"
Great Lakes ,"3,525,711"
Illinois ,"1,082,968"
Indiana,"497,036"
Michigan ,"658,992"
Ohio ,"872,748"
Wisconsin ,"413,967"
Plains ,"1,694,015"
Iowa ,"248,923"
Kansas,"226,012"
Minnesota ,"471,820"
Missouri ,"422,306"
Nebraska,"178,421"
North Dakota ,"74,113"
South Dakota ,"72,421"
Southeast ,"6,014,055"
Alabama ,"300,152"
Arkansas,"176,240"
Florida ,"1,579,503"
Georgia ,"805,397"
Kentucky,"277,747"
Louisiana ,"309,601"
Mississippi ,"146,401"
North Carolina ,"766,919"
South Carolina ,"322,259"
Tennessee ,"523,240"
Virginia ,"707,085"
West Virginia ,"99,511"
Southwest ,"3,456,189"
Arizona ,"508,344"
New Mexico,"130,202"
Oklahoma,"254,134"
Texas,"2,563,508"
Rocky Mountain ,"1,032,497"
Colorado ,"520,389"
Idaho ,"118,791"
Montana ,"70,560"
Utah ,"272,586"
Wyoming ,"50,172"
Far West,"5,394,905"
Alaska ,"67,337"
California ,"3,862,171"
Hawaii ,"108,023"
Nevada,"239,398"
Oregon ,"316,461"
Washington,"801,515"
