"Label (Grouping)","Gini Index"
"Alabama",""
"    Estimate","0.4851"
"Alaska",""
"    Estimate","0.4278"
"Arizona",""
"    Estimate","0.4665"
"Arkansas",""
"    Estimate","0.4799"
"California",""
"    Estimate","0.4953"
"Colorado",""
"    Estimate","0.4566"
"Connecticut",""
"    Estimate","0.5008"
"Delaware",""
"    Estimate","0.4407"
"District of Columbia",""
"    Estimate","0.5111"
"Florida",""
"    Estimate","0.4902"
"Georgia",""
"    Estimate","0.4736"
"Hawaii",""
"    Estimate","0.4574"
"Idaho",""
"    Estimate","0.4434"
"Illinois",""
"    Estimate","0.4837"
"Indiana",""
"    Estimate","0.4561"
"Iowa",""
"    Estimate","0.4514"
"Kansas",""
"    Estimate","0.4632"
"Kentucky",""
"    Estimate","0.4845"
"Louisiana",""
"    Estimate","0.4915"
"Maine",""
"    Estimate","0.4601"
"Maryland",""
"    Estimate","0.4589"
"Massachusetts",""
"    Estimate","0.4976"
"Michigan",""
"    Estimate","0.4685"
"Minnesota",""
"    Estimate","0.4560"
"Mississippi",""
"    Estimate","0.4806"
"Missouri",""
"    Estimate","0.4687"
"Montana",""
"    Estimate","0.4652"
"Nebraska",""
"    Estimate","0.4610"
"Nevada",""
"    Estimate","0.4685"
"New Hampshire",""
"    Estimate","0.4466"
"New Jersey",""
"    Estimate","0.4815"
"New Mexico",""
"    Estimate","0.4796"
"New York",""
"    Estimate","0.5208"
"North Carolina",""
"    Estimate","0.4768"
"North Dakota",""
"    Estimate","0.4678"
"Ohio",""
"    Estimate","0.4691"
"Oklahoma",""
"    Estimate","0.4743"
"Oregon",""
"    Estimate","0.4679"
"Pennsylvania",""
"    Estimate","0.4778"
"Rhode Island",""
"    Estimate","0.4640"
"South Carolina",""
"    Estimate","0.4757"
"South Dakota",""
"    Estimate","0.4487"
"Tennessee",""
"    Estimate","0.4694"
"Texas",""
"    Estimate","0.4796"
"Utah",""
"    Estimate","0.4264"
"Vermont",""
"    Estimate","0.4452"
"Virginia",""
"    Estimate","0.4755"
"Washington",""
"    Estimate","0.4742"
"West Virginia",""
"    Estimate","0.4804"
"Wisconsin",""
"    Estimate","0.4510"
"Wyoming",""
"    Estimate","0.4437"
"Puerto Rico",""
"    Estimate","0.5477"
