"Senator","State","Amount"
"Cruz Ted (R-TX)","Texas","$461557"
"Cramer Kevin (R-ND)","North Dakota","$391511"
"Barrasso John (R-WY)","Wyoming","$318775"
"Sheehy Tim (R-MT)","Montana","$302882"
"Wicker Roger (R-MS)","Mississippi","$240367"
"Allred Colin (D-TX)","Texas","$228153"
"Ricketts Pete (R-NE)","Nebraska","$197997"
"Fischer Deb (R-NE)","Nebraska","$196764"
"Scott Rick (R-FL)","Florida","$172869"
"Blackburn Marsha (R-TN)","Tennessee","$169514"
"Justice Jim (R-WV)","West Virginia","$158131"
"Hawley Josh (R-MO)","Missouri","$147897"
"Banks Jim (R-IN)","Indiana","$139089"
"McCormick Dave (R-PA)","Pennsylvania","$139060"
"Cornyn John (R-TX)","Texas","$128354"
"Scott Tim (R-SC)","South Carolina","$125861"
"Curtis John (R-UT)","Utah","$119800"
"Brown Sam (R-NV)","Nevada","$115610"
"Tester Jon (D-MT)","Montana","$105855"
"Sullivan Dan (R-AK)","Alaska","$89059"
"Moreno Bernie (R-OH)","Ohio","$75384"
"Sinema Kyrsten (I-AZ)","Arizona","$74800"
"Cassidy Bill (R-LA)","Louisiana","$70830"
"Mullin Markwayne (R-OK)","Oklahoma","$67900"
"Kennedy John (R-LA)","Louisiana","$62926"
"Manchin Joe (D-WV)","West Virginia","$61775"
"Rogers Mike (R-MI)","Michigan","$52782"
"Marshall Roger (R-KS)","Kansas","$51800"
"Domenici Nella Louise (R-NM)","New Mexico","$51202"
"Hogan Larry (R-MD)","Maryland","$49055"
"Brown Sherrod (D-OH)","Ohio","$48470"
"Casey Bob (D-PA)","Pennsylvania","$41511"
"Rosen Jacky (D-NV)","Nevada","$38859"
"Vance J D (R-OH)","Ohio","$37957"
"King Angus (I-ME)","Maine","$37200"
"Lake Kari (R-AZ)","Arizona","$35099"
"Kaine Tim (D-VA)","Virginia","$34162"
"Lankford James (R-OK)","Oklahoma","$32170"
"Baldwin Tammy (D-WI)","Wisconsin","$30999"
"Romney Mitt (R-UT)","Utah","$30871"
"Daines Steven (R-MT)","Montana","$26325"
"Heinrich Martin (D-NM)","New Mexico","$26127"
"Thune John (R-SD)","South Dakota","$25800"
"Mooney Alex (R-WV)","West Virginia","$25425"
"Wilson Brad (R-UT)","Utah","$24800"
"Collins Susan M (R-ME)","Maine","$24550"
"Moran Jerry (R-KS)","Kansas","$23900"
"Graham Lindsey (R-SC)","South Carolina","$23123"
"Murphy Christopher S (D-CT)","Connecticut","$22765"
"Larose Frank (R-OH)","Ohio","$22382"
"Mucarsel-Powell Debbie (D-FL)","Florida","$22319"
"Hovde Eric (R-WI)","Wisconsin","$21604"
"Slotkin Elissa (D-MI)","Michigan","$21014"
"Lummis Cynthia (R-WY)","Wyoming","$19175"
