Full,Unemployment (2024)
North Dakota,2
South Dakota,2
Vermont,2.1
Nebraska,2.5
New Hampshire,2.5
Maryland,2.7
Virginia,2.7
Iowa,2.8
Minnesota,2.8
Mississippi,2.8
Kansas,2.9
Utah,2.9
Wisconsin,2.9
Wyoming,2.9
Alabama,3
Hawaii,3
Maine,3
Massachusetts,3
Tennessee,3
Montana,3.1
Georgia,3.2
Florida,3.3
Idaho,3.3
Arizona,3.4
Arkansas,3.4
Pennsylvania,3.4
South Carolina,3.4
Missouri,3.5
Oklahoma,3.5
North Carolina,3.6
Indiana,3.7
Colorado,3.8
New Mexico,3.8
Delaware,3.9
Michigan,3.9
Texas,4
Louisiana,4.1
New York,4.2
Ohio,4.2
Oregon,4.2
West Virginia,4.2
Connecticut,4.3
Rhode Island,4.3
Alaska,4.5
Kentucky,4.6
New Jersey,4.6
Illinois,4.9
Washington,4.9
Nevada,5.1
California,5.2
District of Columbia,5.3
