Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Taxes,T00,"1,431,859,988","16,713,126","3,271,369","23,363,426","12,758,766","220,591,306","18,131,705","21,894,723","6,563,472","10,337,539","61,902,651","33,701,995","10,187,648","7,384,896","62,987,205","30,323,395","12,967,440","13,139,563","17,217,084","15,498,212","6,439,637","29,693,908","41,603,097","37,125,288","34,473,185","10,329,507","17,355,779","4,710,141","7,326,729","14,177,495","3,546,944","51,673,356","14,267,428","125,188,211","38,940,949","6,048,549","38,746,975","13,844,759","20,877,679","55,074,459","4,738,508","15,649,277","2,629,090","23,817,195","86,776,159","13,490,466","4,498,680","37,124,084","38,025,420","7,638,753","23,745,873","3,346,887"
Property taxes,T01,"26,043,497","553,812","128,961","1,304,903","1,424,090","3,400,425",X,X,X,"3,049,563",X,"831,799",X,X,"60,109","15,463",775,"881,689","790,911","98,440","43,924","1,069,368","14,073","2,716,683","774,847","31,278","41,766","388,902",129,"1,492,323","306,000","5,068","117,069",X,X,"5,490",X,X,"21,450","46,214","4,763","96,834",X,X,X,X,"1,210,786","49,635","4,484,192","7,702","97,109","476,952"
Sales and gross receipts taxes,TA1,"664,891,545","7,952,183","292,255","14,862,923","6,668,614","75,400,445","7,986,279","8,730,134","646,541","2,374,182","49,658,132","11,643,724","6,256,481","3,741,521","26,756,440","16,508,720","6,243,044","5,677,245","8,349,625","7,939,971","3,061,098","12,642,045","12,421,578","18,114,947","12,947,044","6,589,440","6,973,518","923,794","3,399,841","10,904,366","1,039,064","20,766,404","5,303,250","32,913,879","17,628,834","1,824,505","25,238,471","5,494,468","4,086,908","27,083,929","2,584,919","7,459,355","2,226,224","17,645,357","73,385,806","5,582,038","1,492,253","14,028,519","28,128,280","3,461,620","10,356,276","1,495,056"
     General sales and gross receipts,T09,"460,473,846","4,607,610",X,"12,509,337","4,980,130","53,565,932","4,606,955","5,548,269",X,"1,919,492","39,969,175","8,980,297","4,731,299","3,065,139","15,499,836","11,003,705","4,655,013","4,359,013","5,707,486","4,814,807","2,263,595","6,821,665","9,353,642","12,897,208","8,018,438","5,022,568","4,894,410",X,"2,747,036","7,958,061",X,"14,742,322","4,181,396","19,046,752","11,907,791","1,270,449","16,454,632","3,798,881","1,338,529","15,401,396","1,560,600","5,124,195","1,678,258","13,847,148","53,676,012","4,552,473","584,677","7,427,094","22,815,409","1,813,139","7,456,088","1,296,487"
     Selective sales and gross receipts taxes,TA2,"204,417,699","3,344,573","292,255","2,353,586","1,688,484","21,834,513","3,379,324","3,181,865","646,541","454,690","9,688,957","2,663,427","1,525,182","676,382","11,256,604","5,505,015","1,588,031","1,318,232","2,642,139","3,125,164","797,503","5,820,380","3,067,936","5,217,739","4,928,606","1,566,872","2,079,108","923,794","652,805","2,946,305","1,039,064","6,024,082","1,121,854","13,867,127","5,721,043","554,056","8,783,839","1,695,587","2,748,379","11,682,533","1,024,319","2,335,160","547,966","3,798,209","19,709,794","1,029,565","907,576","6,601,425","5,312,871","1,648,481","2,900,188","198,569"
          Alcoholic beverages,T10,"8,389,533","282,537","41,621","91,425","78,615","421,647","56,055","73,381","32,230","6,851","317,400","223,273","54,513","11,050","314,640","59,088","19,715","169,223","192,789","79,719","18,456","37,482","99,090","204,578","109,108","42,152","47,085","48,793","33,926","47,269","12,933","181,349","24,400","281,942","591,322","10,543","119,171","177,614","19,196","476,580","22,225","222,332","20,727","319,575","1,788,584","18,555","12,388","282,498","490,367","23,679","77,641","2,201"
          Amusements,T11,"10,756,350",0,"21,369","8,152","92,034",X,"171,345","45,960",X,37,"178,424",X,X,X,"1,400,703","552,083","373,106",298,64,"759,026","68,991","1,217,107","320,525","277,874","218,145","198,111","392,685","80,113","7,817","1,330,860",366,"405,179","66,700","2,008",0,"23,776","334,019","31,799",69,"1,979,329",0,"58,264","12,241",0,"16,663",X,X,"46,124","15,022","43,544",177,"6,241"
          Insurance premiums,T12,"32,337,862","563,244","63,446","811,228","374,949","3,690,456","533,490","254,304","145,896","161,039","1,993,432","527,642","210,527","139,362","547,184","268,114","173,028","503,133","212,229","1,229,146","133,032","856,566","613,510","471,261","752,517","436,639","516,480","163,891","87,723","546,898","154,258","723,894","388,600","2,456,791","1,169,639","80,032","767,006","333,261","80,039","939,974","154,474","337,845","105,088","1,274,120","4,064,627","202,989","72,313","733,514","847,086","187,006","251,916","33,024"
Motor fuels,T13,"55,263,720","964,519","46,522","871,594","606,074","8,653,271","708,049","389,702","133,604","22,486","3,094,117","1,119,741","82,414","404,914","2,602,985","1,651,613","684,506","465,687","745,247","628,239","246,677","1,300,976","701,909","1,479,048","883,750","458,712","896,123","288,739","373,656","376,578","180,109","419,618","322,166","1,276,276","2,377,329","185,945","2,726,939","594,864","620,252","3,373,838","138,776","1,017,130","191,658","1,273,145","3,832,081","614,307","127,885","1,815,165","1,567,863","432,442","1,177,749","116,731"
          Public utilities,T15,"13,406,401","757,179","4,566","22,261",X,"877,428",X,"254,612","52,064","160,848","1,941,971",X,"142,194","1,649","1,206,004",0,"72,671",344,"78,110","12,241","22,492","148,566",X,"43,601","87,513","1,812",X,"39,001","64,986","49,541","28,056","1,105,989","36,615","769,557",299,"34,463","1,206,368","60,639","21,785","1,183,673","98,556","29,538","3,696","7,211","827,995","65,901","10,701","485,809","838,845","125,828","419,402","3,821"
